"sim","mean","se","upper95","lower95","upper90","lower90"
1,26.1946943966966,119.617193741066,279.552432251244,-199.762456653727,220.555903898913,-157.722104192884
1,606.59968296951,332.805075714448,1482.21792216664,55.6124636754929,1210.35893082487,175.15813425562
1,-472.404618730624,1369.05574622231,1493.12412773389,-3719.43358111862,1366.50776843396,-3093.05568214293
1,-183.219953978508,1329.16553745394,2177.62283489826,-2971.50203322554,1602.51387544803,-2461.52324829355
1,1798.88810119982,400.771715385264,2597.20933273299,1044.85890860375,2485.87396101315,1137.21800178284
2,-84.0023563618412,211.481525409416,316.69575743039,-529.698394784455,267.163148322828,-432.653336526742
2,101.117824583086,307.048733183217,778.416411408657,-478.694835233249,640.368012014751,-388.686244981664
2,117.349545026108,756.885992667208,1701.33127083276,-1403.17864828927,1422.48910963615,-1114.12878848009
2,-390.835037387782,1233.48790493099,1657.64329903321,-3290.22389065739,1387.90212928443,-2605.66484807293
2,1429.83284042408,470.720178373112,2305.09962027879,442.617299672087,2195.0753872092,670.161192773808
3,-100.995894351356,166.307032889038,206.1776968764,-438.634199279777,158.721801988774,-389.094683952561
3,418.660387943543,281.111710483215,1001.35692718157,-116.810705518113,897.050449228311,-40.4017991961883
3,55.0956184299083,686.187971173213,1412.3632393638,-1350.21451446063,1109.67359275165,-1164.60629930164
3,479.902952291617,465.783816013502,1558.7322058852,-180.923606188235,1323.83054308433,-88.7083276082191
3,1668.20563278686,377.180692316768,2435.28513097419,968.140804472521,2278.23375938344,1025.39564118265
4,-180.422549360815,302.632862253618,420.113847845735,-778.93466944687,276.50405956815,-702.027552874655
4,-146.860956277218,436.240214931564,619.265279771701,-974.863281224116,454.084553235065,-754.12559919548
4,1136.27668574889,721.686099380147,3033.35453595839,296.522095557007,2697.01928885592,358.511411920992
4,2611.93274353726,1048.92733073037,5050.59247335773,918.347316257525,4407.51662614907,1159.69598409238
4,991.805150925227,532.473428230347,2062.45606360143,-72.196853671856,1882.9404629887,165.537381402434
5,-106.29491121988,178.729518034273,242.075929251752,-451.404053772956,175.039475629138,-412.743702644202
5,184.486977125228,269.6295841314,749.383008793548,-342.892238168324,639.588665052686,-264.286179378523
5,405.463466800709,281.424486566512,948.771869960875,-152.496905438571,870.100694275491,-55.5095215701324
5,541.314422132269,426.585724391087,1524.62422484174,-134.04131689336,1312.95073000169,-37.684308410267
5,1370.91441628891,375.21665250328,2115.69974676735,640.481440554774,1954.5252633849,788.199810225084
6,48.9931767758565,147.066485218598,353.814160625245,-209.265976812684,286.499650040457,-176.574533447887
6,91.7828305756593,253.763090538061,679.224062196474,-336.823181774202,512.353749263245,-295.876294114918
6,305.346536962367,510.200567482693,1321.74063501638,-740.014591172683,1110.74965483926,-570.431627459973
6,458.484111619104,611.634727641953,1926.45252375009,-653.485687698163,1566.6021153725,-441.377094821167
6,1317.26001163162,343.267708587524,2001.27246690893,574.20540014304,1850.43748602602,746.909447178566
7,-263.095900427594,228.104054281457,185.429215200536,-691.552450324679,88.2200098148415,-617.48597668943
7,-115.736336226857,270.437117808364,463.568026126354,-628.798983995154,349.018113297016,-533.926471519172
7,1463.46514747649,939.653935041343,3471.18147586976,-27.748765056222,3176.76145926386,158.744320991662
7,2416.36094680456,1054.83076108084,4670.45958465375,870.294479576921,4329.66698089293,1029.43430668271
7,1327.85102669605,342.273664635051,1936.10862132275,637.165898785529,1876.55538947066,784.02497363258
8,-163.629486851849,177.123773431744,179.805596236613,-508.613818027505,118.550234343646,-461.783862517544
8,646.37732203664,391.880875612755,1376.295970279,-138.492292547723,1285.83189994458,16.1307702851449
8,1021.18511429863,641.859331086488,2476.89317970987,104.519503521931,2250.85436117355,206.202356249209
8,924.633926705418,701.844543722819,2588.73825071219,-31.5080568186541,2221.5773947676,33.7058404248094
8,2045.20640015101,381.476339226453,2744.37266372564,1286.24140085763,2649.11219193016,1454.42840177227
9,-189.281866367625,162.922316324888,123.308679910225,-528.065318860115,71.3556605425009,-470.313796742943
9,232.376268934319,252.89887864487,759.773137918098,-219.554789039565,654.267730002798,-164.960755804049
