"sim","mean","se","upper95","lower95","upper90","lower90"
1,-8.95080172793973,111.399115825864,211.395361412677,-227.99857897664,167.69486144884,-192.770512400525
1,558.499420716419,316.220589478494,1365.81279680599,-6.21451307070603,1119.53719130675,110.305091060566
1,-17.6608884220773,444.068360738855,629.350993363429,-1071.65910206476,563.936507839682,-800.549201175051
1,-84.8161418046231,374.358338551925,519.299120685611,-907.239003287311,406.445825272474,-744.498038998581
1,1898.5521330506,334.813011875355,2573.10821065164,1218.04049506668,2433.82340190829,1314.7435274725
2,-126.905765361686,181.447141635385,220.107103384831,-508.769695580717,160.335142202889,-429.587436363658
2,122.277442233118,285.159242645388,707.405160965949,-409.458871390893,631.402428642515,-335.079856675481
2,29.7526056693843,345.082122397671,637.046656257983,-697.244987658003,560.26895872504,-595.233098461816
2,-172.19727044683,427.385286515762,456.503521513914,-1272.39258249121,395.214311236896,-976.068500194963
2,1584.80451695478,406.12186397975,2296.1058917166,743.501601649393,2222.96843290704,897.541568652665
3,-87.4356100790768,144.238865114738,169.12407918699,-371.372217889009,134.163811410863,-327.359806880128
3,391.06919441076,260.838907780657,901.255895490351,-118.530847650506,827.955436480126,-18.8896701175053
3,-42.9435923672724,336.609653289306,494.113219859683,-767.818235655734,431.305715258471,-684.242809154186
3,143.249501518257,193.84387001758,531.434907115397,-242.375631180829,448.701376765675,-166.120649239501
3,1700.69300735474,339.931820309477,2369.62921092526,1029.90971762583,2240.33290162136,1138.66568702197
4,-67.0662987664249,254.531223817592,420.676624601694,-558.66039771796,325.940297379574,-497.103601031151
4,63.1377265993473,363.135280487476,843.875133650534,-688.987268549543,647.540958143958,-511.405303850497
4,565.189531140468,241.449915432097,1165.24945372126,234.766893925774,1031.11681979248,257.085379881013
4,671.798622587006,313.277889509975,1420.43874581952,196.805352784978,1233.05187481883,248.279328598018
4,1193.26916488203,469.468812141325,2062.52166113634,296.791189751721,1921.35616150152,452.373567136184
5,-76.7756576972017,148.765233605548,199.087239542218,-368.360829011998,163.678104098421,-334.991009565815
5,319.775867818157,260.70065564101,875.975975224802,-212.9802375011,765.558822062424,-120.377102839928
5,299.016235330055,168.243766662186,621.773205970393,-18.6914302737743,569.025710999862,23.5989926627056
5,217.179162901188,154.437265461037,534.447313330797,-87.4041033352879,479.481261238628,-16.4880742388165
5,1504.02126587663,322.56605042744,2116.6690082147,884.035783026257,2023.96159898272,957.754596245741
6,32.2472335801462,136.416121854663,313.509201157272,-222.727591469191,247.421621344794,-180.697603352382
6,169.027719134657,240.113898060127,690.929825905957,-252.273734029046,587.272075644925,-169.003012680932
6,229.802409558217,211.76245633934,623.432164663992,-245.699820684253,565.373061510539,-124.633324215186
6,95.563659629632,200.926736073011,515.976906447372,-324.012018755447,402.503014709357,-236.551532382699
6,1449.05151440772,304.640772110776,2068.53838332017,810.253999833337,1916.29646892919,947.678080224208
7,-149.852283363668,202.289500980303,268.428040301102,-522.388064093242,132.386269683091,-455.60433021029
7,-3.7330518832605,276.122477653896,550.267845600072,-531.748039078617,462.642712858774,-435.89494999472
7,532.147045311105,377.782148929323,1283.96333941386,-109.313393416048,1129.48145772352,-46.5635879618457
7,691.440551018724,384.126041441306,1537.02558523857,157.087028540024,1394.38562360054,224.781447959678
7,1470.69362354004,316.661461748735,2050.44265090759,803.421270066205,1950.36065431047,944.94079456645
8,-83.3397771360438,156.27256962365,221.79754779933,-385.354337941117,175.218232678375,-342.155734005699
8,680.930576784184,383.221914213766,1382.99830467092,-45.5627414643551,1281.04404692658,32.5282641578256
8,534.394920963515,225.542411196567,1033.6979919232,171.694412455915,936.912290474617,223.732218277367
8,241.334909899031,198.165903619868,711.462254052127,-51.8128087666331,603.379081040296,-0.961952789828161
8,2014.49487680502,343.390874928169,2631.72125012713,1353.11921782962,2568.72127952989,1475.9913888142
9,-212.515933872851,143.930636817837,52.5207231831595,-506.588828956913,11.6905865533084,-458.114479682349
9,258.933280875628,252.520642089042,768.404522577321,-218.948484625117,668.935868168883,-144.80403311706
9,174.549708538789,200.033755211561,523.496584660676,-266.329086180699,470.755487747345,-180.045983150059
9,20.6146093402943,147.311257533155,300.295147123643,-261.744327706948,256.235036860236,-222.718875846227
9,1561.04679505084,312.96318408913,2186.94211942803,952.195771895152,2071.71193314405,1050.20586001845
10,-121.474840892418,172.104820296721,218.828264498337,-438.791157959878,128.346511311773,-372.485684324628
10,458.912851248857,344.368797799702,1190.50712197995,-190.176184880013,1019.66980131359,-67.1489824560816
10,387.040651186296,239.046089359698,856.418477793707,-145.550740769676,749.468086371609,2.23265318056555
10,160.125721325595,183.200803039472,523.050069639055,-191.474830658177,449.217234056646,-125.321720411917
10,1973.98936465505,314.055515091835,2602.70703033552,1324.36217627316,2485.91463483254,1430.78598473903
11,-44.0061131724518,144.803618711558,237.84122470834,-334.597132919057,171.557513536622,-276.181324706651
11,159.165528588493,208.854251391002,599.304171897876,-212.346906036421,516.238651497292,-175.49879739224
11,207.355164822941,206.62763300046,600.305728456408,-223.004998138344,519.282410502877,-144.387379510686
11,-16.8749534311806,153.109139874519,273.537651572263,-342.45266431367,228.575099899008,-286.064793057698
11,1291.69134643752,315.293097925271,1945.0775986448,691.555037894176,1826.68328880108,810.045086487763
12,-64.7317815891884,224.807091603488,321.616268218755,-502.242021554752,276.825079294428,-419.379669390051
12,241.143700641634,337.777833618837,1043.85211826324,-395.863558832875,796.766619556356,-290.403430482262
12,134.001492212973,268.501128982451,622.856586644691,-522.617006699036,538.359613813474,-327.607110089754
12,160.49401074976,217.636862737959,643.622184972465,-271.208500217336,498.490869769518,-174.271021350366
12,1605.91219497905,279.029879394233,2099.90666338361,1008.24333150113,2046.2720973853,1115.83791650537
13,-62.8374179441077,176.817650206821,292.935002870338,-370.823030633809,235.807013202984,-326.417454477176
13,389.759217073305,342.018329680637,1063.5210233071,-232.384542228099,947.874631639386,-133.536735385031
13,468.161999944344,278.952841322254,1043.31346774678,-41.9904682655492,945.924745202761,25.6131424253372
13,293.479064154896,203.929467656982,728.336888080716,-11.5784113444616,640.76863611721,6.46821194617973
13,1828.83546345035,316.267996929197,2489.31886648647,1276.38302307308,2352.65079410679,1330.94821583086
14,22.1843577795133,161.81215700545,440.392304493126,-225.866884647742,301.382760339018,-196.749913799797
14,425.344473720278,359.457012381093,1319.63898643476,-161.702326717556,1079.73195637031,-87.6868982405579
14,478.062513394047,285.780222429183,1140.46917192511,18.6959661605297,1014.83543008187,85.8673219574373
14,307.801220560168,214.220633828683,798.062537530341,-37.3531590285528,712.573144496733,14.0766780837217
14,1743.90306037715,377.44201901423,2469.29428878338,976.964840752172,2398.79739046965,1101.83362009365
15,-76.1730108458325,127.288927422248,209.554269164459,-334.889242691084,121.121094976767,-280.751324428715
15,401.135771408622,301.421420666903,1072.50739514058,-178.493445383791,926.906032072991,-109.548240023903
15,347.094802655904,175.806966913197,689.57199050856,-27.7156674079079,631.000784708125,60.5646356484463
15,139.885625863999,148.304048241541,420.482842425222,-165.591172254742,381.473334575935,-83.5341758304303
15,1745.18120235059,315.850576653506,2331.80416909416,1108.64871047934,2230.24273660643,1234.43488820736
16,-206.480767405711,228.727892729627,250.873254663496,-672.392509897393,160.219773887177,-600.240322873728
16,198.841162921329,377.079474688214,1082.30520783779,-461.093368895993,856.23307788673,-366.147665341435
16,-200.398570032609,488.013392721455,532.17031566965,-1367.85394655744,447.230038972597,-1117.39225749342
16,-454.402583320036,636.043113101712,436.209476794449,-2031.52417018999,341.164949203998,-1663.31872399094
16,1543.7425990645,360.076950429694,2216.86698475459,834.159092811731,2128.05624953025,971.948744889756
17,-75.6038568714457,161.957883218145,227.647450587341,-342.110635999547,159.916115939396,-308.045667593565
17,459.529872888022,351.643328996926,1335.68131942184,-181.15065808411,1022.91479357063,-68.8586017957135
17,376.528945230827,503.378938188751,1206.80026488285,-939.039965822827,1075.18122418048,-584.083552616486
17,-87.0771144108357,651.754873555028,733.147420998653,-1865.46772943359,635.951257924319,-1363.15380839531
17,2420.09552880884,302.258774714376,2934.39647192697,1682.85318640024,2877.6053015782,1851.01328279364
18,-30.7028711238412,154.148992899571,272.861199215608,-318.162314022391,230.023590104192,-280.986264281722
18,478.967644941905,372.071112321502,1218.69581108169,-208.259450836145,1085.48653839609,-103.798538276325
18,269.700908310829,367.889279875734,938.997895544624,-522.432868187435,788.470655931373,-364.403928147362
18,138.663499466359,276.933700988707,650.795381406326,-482.143803054568,540.136174908,-325.727758994745
18,1779.38161308926,284.937093128833,2374.74689852625,1260.00880947831,2255.78809698797,1332.59822277214
19,-65.1879895591369,199.502095236403,303.725456204819,-439.064234668208,269.484634652522,-379.167740781717
19,191.852104478637,335.939058964215,919.542593582534,-492.39177662056,750.706274851098,-323.765798664366
19,252.18166388463,452.963495203801,1070.27684689524,-720.002706947036,942.808620686399,-505.588033507135
19,248.53680370868,380.820245418644,1045.6393740036,-618.874196929337,827.651103998083,-381.746139930613
19,1413.31987548753,330.22758808162,2059.3635203626,766.475631046269,1995.00823004916,873.067212281527
20,-92.1730171346097,97.7696315655844,113.099883903726,-278.116435927491,67.9941590319371,-243.284722839738
20,192.545928541359,249.438685512568,734.966928540142,-247.501734120079,662.617405421252,-180.574156090628
20,439.605199631396,264.20444280221,994.25330885272,-49.3649677682544,904.621729777398,22.9573787204257
20,390.098408546044,260.74755744141,989.446541023614,-42.5083077412658,854.049075555905,17.1869921775864
20,1526.79353190248,331.383239352708,2227.32090762047,917.429226601683,2121.9906931475,1007.40687699313
21,-42.6202583158683,144.716860360036,260.737160222299,-308.810675531721,193.13059322382,-269.764656716041
21,552.030757422097,336.00465680143,1341.79546273167,-51.2012613676155,1134.18580376828,41.2618983310739
21,281.773403144514,612.38714757968,1240.5659279387,-1012.54394511909,1151.67012302605,-762.170342049721
21,196.548162371546,580.920538493689,1186.24543510884,-1184.82470559885,971.984314307318,-812.655777138303
21,2120.18238655146,391.141358783376,2852.72782277681,1300.76406777243,2738.24000962732,1446.54846770787
22,143.970952488138,179.915894042565,440.061853387423,-217.401303301002,364.106408349737,-135.686489007547
22,320.175242554859,341.874853338604,1181.60347876888,-184.066087394667,975.961552355693,-135.010996580555
22,-558.615994655374,690.611297731338,288.671480790911,-2056.39109219349,229.693265936566,-1861.22476925147
22,-875.23007542899,837.878705801176,161.958993837873,-3011.72361289928,109.298614890146,-2449.89358219606
22,1783.05320734649,341.797221872364,2465.96641209446,1069.51181077587,2369.67955281813,1197.65973568892
23,47.4745679778037,139.829655246241,304.040004830718,-218.664137410873,268.779529649085,-182.737268396523
23,567.857838923664,289.665158668228,1232.43473714688,62.9591823391764,1147.29943091505,136.317318729516
23,337.995372987118,181.831274497315,660.202604624072,-54.8685822319142,614.47216579239,19.2130280048838
23,240.230410678076,204.528223408162,665.185366653849,-178.886748027427,579.80859424622,-78.3643208990629
23,1789.55620189071,331.606280974736,2460.56727377737,1136.79055978048,2351.54449422402,1235.29740405046
24,238.629521740279,301.894204309952,1139.26547965221,-200.530807998159,742.800211819893,-147.352258994981
24,-44.6270477037734,306.510087479537,647.854291513364,-586.218342311242,509.516516491396,-502.188106618964
24,232.206050092948,340.42829306472,889.869721118708,-474.968767074539,789.206511904324,-338.378206714621
24,295.855533244229,233.696991475388,781.851205155574,-105.524275403006,682.331265582972,-21.9521507254002
24,1654.99970854122,425.657529912959,2362.5799382575,640.758903354402,2245.95043052668,820.138243486273
25,91.6076103529252,130.178733816593,344.523610585877,-140.218227663865,294.528336043064,-99.6120324327423
25,279.893462414168,263.402840709078,870.112098764919,-165.170576605928,732.455851596488,-101.830001064502
25,136.306974694317,289.542741433946,691.851744760739,-520.514613788528,630.963750954782,-335.293568919464
25,28.1645071222071,226.112328086086,447.542551238103,-432.774222689195,378.632612930668,-341.569387554099
25,1788.11903511324,362.085031899729,2481.64732993282,1087.17145238054,2360.41262874745,1163.00602451766
26,-93.953223286808,145.118181974005,190.195302351521,-395.742541016641,136.62068297379,-331.282510302632
26,555.483464811426,332.484418529268,1156.06021995213,-121.623813653042,1084.91792682539,-12.6081661657029
26,471.051590052705,213.685432596132,979.674769683256,127.253675242924,892.591220502674,159.783734343881
26,143.319405749742,152.494005823996,473.378776384715,-131.357174989885,411.685392320559,-94.5003301298121
26,1833.15027459367,324.467664898779,2524.08967786378,1264.13990652162,2379.30076377208,1359.21256519143
27,-320.696100842018,213.447266632328,83.7662819216665,-767.461660525564,-5.32040730315913,-681.323683113532
27,455.991515802346,415.66739241944,1297.57703125755,-343.263039075677,1147.75264712828,-150.856396013995
27,-230.59105713126,813.100559704999,674.335471201568,-2384.57018621409,581.819400261271,-1820.31972804625
27,-265.556450106215,674.236558230049,540.975899444175,-2074.17228576828,452.856896930499,-1519.82400572035
27,1834.39136354585,364.800365199716,2471.92555794783,1131.32479468723,2395.30458809369,1241.08906871046
28,-277.934003879117,201.535914131097,72.9253853414883,-696.093781626549,25.0702972034687,-613.870836142391
28,-115.4618550783,280.674230977672,384.573308505165,-656.09565866899,328.120192452822,-590.213275601532
28,13.9086467032464,380.459757193955,731.726202593441,-803.853165374706,554.145269060661,-621.881876632344
28,-80.5666159825383,452.593100223873,630.185847948439,-1178.08968848352,536.435782474647,-869.464349918476
28,1744.86042843555,301.886569787653,2326.47052335475,1109.04902666173,2235.78332838816,1266.61114363898
29,84.2641151699164,137.37043216991,377.235587516783,-178.562792180402,304.00476643006,-118.424681781721
29,371.088099179098,275.295098721054,1053.1771021013,-114.837638698872,883.103847231812,-57.6164653318421
29,275.951046142082,172.903143040444,646.630620699216,-73.0789567501904,550.500218016043,4.39437484187944
29,199.702277342303,150.948877015443,510.395247161386,-84.0368751294563,459.295300313892,-19.6039804703433
29,1547.75887945951,310.753200241331,2162.07369500606,932.213989643703,2048.60781090925,1063.11242601442
30,-99.0577690241384,210.391367621795,318.277896612465,-456.527850504335,207.302364373873,-421.319092360116
30,351.811537081864,376.4579325503,1175.03667412228,-356.270708952368,1025.1457532285,-206.713295609595
30,-236.078127162977,816.047508850533,637.045566879505,-2374.92373393109,557.523433022086,-1710.85768237624
30,-281.983619070003,693.316617943491,530.330810819505,-2035.81032755338,459.418360907847,-1685.53062434162
30,1750.43422951214,383.581242636664,2449.89961443576,948.612768567326,2346.78350573302,1058.80727024903
31,-217.30394060947,217.013172759112,148.241099780988,-652.445146856414,92.8629825111332,-577.562861938588
31,231.974937835451,351.315307543155,994.820817489167,-389.630289006981,861.349839843327,-324.722704314848
31,47.5490869072028,228.410657357775,418.213104568412,-440.188136882042,370.223560575142,-364.080409769406
31,-77.9032530748477,279.818783728036,360.790031320791,-728.926384462267,305.171512017084,-585.743562640232
31,1256.17500913864,427.832627985597,2044.94987566566,393.412304239163,1919.10566863947,549.628774659131
32,56.8230267791864,120.151516156901,289.920234599152,-186.158366658215,248.034762760455,-144.401142055572
32,268.366098349725,242.593483711325,822.387839060802,-146.108034744244,687.957683907187,-74.9060323670314
32,-89.3803948271752,232.616934509808,350.586963361714,-573.673041108537,289.49892424018,-499.897657851726
32,121.24033649337,192.211956317112,449.160524802098,-336.859381119452,383.027997699562,-215.159539189134
32,1010.59370252527,351.869791955743,1681.68516857056,309.005639602191,1568.94737469373,401.54902975498
33,-142.980913416324,170.478396065256,168.919473502176,-465.015386990704,113.131516770228,-433.951426244044
33,564.846701033035,331.383983913447,1320.76923727737,-50.2699150927008,1143.81808742638,85.18942908615
33,-118.958886080179,383.074564775985,481.947711407727,-977.651747202295,406.623779831816,-785.964292607223
33,83.9425177925145,196.024557697342,419.796616089573,-374.590880936117,364.780053123537,-237.626773178268
33,2062.54182260635,367.518053891619,2750.61206798815,1324.07857253083,2592.03214456236,1457.55154844148
34,74.9901097456083,191.961229536181,472.26621700797,-259.976831042704,391.198945852154,-224.838403014368
34,529.920240074606,431.210718538817,1493.66952419968,-231.399103571242,1336.35308467271,-114.617349314361
34,557.08478372257,218.9988709292,1006.99015191345,163.04340581239,921.642523282661,259.058797768385
34,536.034022961902,208.155991414927,1017.29328706152,217.710683904209,924.336060414274,257.135832293723
34,1791.08814617246,452.835859032963,2521.25479124793,892.955205957497,2452.31245124942,1061.86790100092
35,-153.669179788822,141.3874939047,83.450342386726,-457.510517772426,59.6426066978516,-395.861060015398
35,356.884301705323,343.182223976685,1170.8446270521,-195.768210529175,968.260107762904,-136.896000625438
35,-367.038627605505,654.690346848635,550.571695807582,-2186.15024274331,440.703285729948,-1581.23692327439
35,-227.113918958081,438.554648676955,362.056604739831,-1267.72056872185,278.175911453691,-1096.65543302324
35,1766.76983785138,336.663309153041,2441.43914193758,1094.22191574841,2332.8866528297,1259.70213184667
36,-163.88177609795,160.584211316773,172.228064787946,-543.763312287377,103.858404824523,-430.034921132805
36,206.456628210677,291.556445541169,775.821225428452,-382.477108377124,658.446589122425,-273.690958279692
36,261.557203172023,354.116466154892,871.571621998303,-531.350749391813,784.57369981926,-340.441549532782
36,149.316474095916,517.020986295972,1005.30672841753,-1198.54719127081,811.237725776384,-847.664019263491
36,1797.24851653945,335.651045588105,2422.95260364808,1118.10221992873,2304.1400825588,1247.61567254215
37,-210.9238394905,152.274486626481,73.0156184807902,-514.160844565153,27.8641827727022,-476.85519389352
37,-46.1922984170632,285.970117053727,635.756645796032,-587.868039920301,458.512863101361,-486.809759144791
37,-704.242158507618,935.963960183612,481.712264317128,-2953.3474207061,393.057876182828,-2449.1184667652
37,-548.851335709644,665.385006510678,325.956413353741,-2305.79666849076,263.401962028674,-1885.82197479989
37,1715.91638145972,371.677713819444,2469.73264101658,1004.80613805985,2346.75833933403,1084.57233523151
38,-142.744793419664,217.341622655376,240.495130937002,-575.565874865733,202.28027842309,-515.043081276176
38,657.452043102956,403.26417793168,1423.06754462867,-86.7140654655058,1329.42897525868,3.25619371955851
38,424.374269075337,333.986530031902,1019.60756708572,-381.60213101372,901.548726439893,-157.634886466959
38,114.256235074729,199.399231523327,527.828666159064,-255.36685648174,451.778308584567,-204.056738241765
38,2287.66215980598,314.635018355021,2879.85170052445,1647.35109384107,2790.36547813296,1731.02670371122
39,-65.9854283779067,182.223927160784,244.493175614773,-452.991140404846,202.088704168406,-383.990710514132
39,279.220054116003,272.20761430898,811.007138786165,-234.836966432536,723.561529849996,-140.381366910588
39,-67.2860486711671,224.9088197116,352.515662896426,-532.821445214804,275.798987656123,-409.807202372974
39,-54.8829447875547,150.071936692108,215.985216452816,-367.585581408718,174.343425074888,-316.393362530586
39,1154.45678273589,320.247537133502,1790.19205409658,426.837511865124,1704.24158004237,678.06716707772
40,91.1773550322444,210.025342974841,534.718633332627,-248.408217301988,444.943517802115,-195.516485769837
40,205.668048757356,309.10367301593,827.680391983385,-318.805722452329,747.642185520819,-244.175710052224
40,146.498980078085,334.628428727864,723.763416997885,-629.652621518946,640.065198485595,-456.535273732838
40,115.690923741594,197.931443192022,476.244379695792,-298.877099814573,401.882908043089,-229.286583226543
40,1344.81070904662,368.047227129269,2048.6242868184,651.590070269673,1964.88613981961,713.660441175255
41,-116.035689805801,210.956248170624,339.820691640313,-500.635969104372,278.289564597995,-437.039250177058
41,54.694491441629,322.717351328982,603.148613049913,-591.533660606732,533.594273856709,-501.356780798746
41,234.507012315469,298.605601851111,832.78171128051,-394.897961157895,707.269689408461,-254.991557647848
41,-24.6456007615071,682.955268634665,965.406972312166,-1724.79683209643,840.271177543454,-1170.44096590952
41,2072.35898178154,311.290478874782,2697.19103792112,1512.49725834621,2565.89693476107,1589.55137631419
42,-107.360732178668,223.172257674153,387.138285467857,-498.551275582667,252.917674770234,-455.797889009584
42,263.857801694237,405.227678673387,1052.54907077021,-553.678263992063,889.908076374226,-372.037512631369
42,29.4339094072692,512.855155475921,755.457430171923,-1271.11146097986,686.48379061667,-1025.88154243767
42,-973.626909520212,863.413740550041,-3.53277844216545,-3305.34429625066,-77.2172137766765,-2575.39936691704
