"sim","mean","se","upper95","lower95","upper90","lower90"
1,29.5416093055077,176.152536738728,412.159564586393,-300.23330956402,341.001146487759,-219.117043934392
1,558.398516662147,423.236286932118,1280.82410118256,-95.465653477311,1153.03550133503,34.3633127252278
1,-550.998258823519,2210.11315603026,2566.58944086895,-5871.11194988578,2038.05089383643,-5148.67694818273
1,-267.87050404405,2257.6835043597,3612.29814970807,-5929.3034039248,2794.87176653074,-4434.19417562943
1,1771.66966016361,528.396251016545,2766.05312513709,687.378326573507,2616.05290845631,835.549909546721
2,-77.1921511461689,317.734631126967,515.450544460446,-769.635769834611,418.041900231208,-578.610803208434
2,79.5390051763941,398.366162519479,864.744214950538,-759.421365842954,759.937790326474,-590.91230935995
2,117.779009427078,1272.43640963548,2490.04330017787,-2713.49929454686,1970.13558255318,-2000.91517297541
2,-452.774222717295,2141.5005362928,2689.89235393565,-5332.50024881661,2344.6545575981,-4309.45556635411
2,1331.55851136444,640.316832917296,2551.37730520509,97.8942499852735,2385.75480716652,276.133579630136
3,-94.8461448902485,248.687084295359,393.145481575741,-609.089518744263,297.032461447733,-502.267120802849
3,468.376771120423,403.661784699839,1369.61133475237,-233.085263352595,1186.99884436885,-149.954766511954
3,98.9202235257979,1049.38119837845,2163.93397268543,-2019.85670232329,1772.90184142084,-1700.27339467872
3,499.885035577213,846.192109347402,2615.82174892427,-1225.19428861508,1866.40290159197,-747.904583993998
3,1529.39181830708,502.020217031055,2476.54164466104,507.496252448915,2347.00634047224,671.62924459937
4,-196.854047541017,435.136707277425,508.362556402861,-1181.84999629927,415.449979080882,-963.595974698385
4,-165.12424837993,506.615288201992,903.514124459158,-1128.54470113165,640.58413445002,-943.828354980049
4,1075.68126508198,866.262677234269,3349.98738697018,54.7437567871074,2654.02464582811,166.583574198236
4,3008.45723247264,1783.7339061416,6790.58709924013,210.205651470912,6451.5900900134,403.216186113239
4,914.403068120878,819.930050600901,2421.8433718197,-863.361479793164,2212.6208288105,-547.925741696379
5,-108.663591447003,255.162279721918,349.301999867836,-674.706067390774,298.148512636889,-560.926047058709
5,224.665426351527,388.115731543422,963.481673301186,-509.157046240086,851.86369942206,-389.585042344175
5,484.814722634193,539.045867103193,1678.70925719358,-583.538739451495,1393.37033977241,-372.569181280666
5,627.763588648369,656.219818697636,2018.50437371977,-339.638842578289,1785.96399330733,-183.917561428452
5,1258.69476349609,533.93799026392,2331.00557854016,242.404281069809,2127.58241469988,412.530709822275
6,47.3420249776073,193.49336932542,466.724121951545,-318.696680048845,348.77797035849,-253.906914037422
6,123.110863012261,360.637883308016,960.451084376343,-496.954747630579,717.943928186426,-386.891993502485
6,332.766544557931,857.360866214895,2022.76046234948,-1361.81191179859,1770.35959657503,-1101.7430774136
6,585.508761017034,1076.84788467693,2962.33054920924,-1210.01706308778,2409.83180195167,-869.545085089944
6,1270.54697339888,454.559087732991,2126.77908042855,350.876230905568,1997.59221851196,489.033230632297
7,-209.187886855352,328.201656260348,462.26156697876,-903.196791088487,315.041633627873,-739.476073835782
7,-132.156851769591,388.786343578559,658.153402414115,-871.327360401096,473.988851898991,-725.848342819445
7,1342.08536156881,1444.96046122966,4482.70765835797,-971.561203953303,4002.08747661696,-660.850195468563
7,2618.35654266254,1641.68882945873,6421.07884081696,111.868718451702,5495.79860584548,423.000457274406
7,1297.86159544834,537.948561032019,2319.75009595196,261.013590418733,2131.25689990435,425.760263749972
8,-168.314705502746,253.863561361797,277.26614107479,-704.719778085356,214.973645917401,-612.153042289962
8,591.077224799503,436.567687036029,1517.0656642243,-235.793301915517,1300.23299435345,-128.753196226235
8,1143.25937793152,1005.04132492976,3899.00829786575,-87.7895087229024,3163.14049132709,30.9181534942685
8,1263.40264502629,1372.98486955894,4786.58984759764,-176.422004806547,4056.143617383,-98.9783895121811
8,1897.13364960786,504.213320541817,2968.02935698861,951.872257387585,2727.62195367856,1143.89973862467
9,-188.857678869826,241.096975390466,284.333294930294,-663.056982666197,192.757771132489,-571.975726819005
9,281.230344356351,358.045352846414,971.927868611786,-412.006580416013,838.466280911723,-308.256342870734
9,221.264172040471,528.955764488192,1296.95725902151,-896.997641715606,1045.00072324551,-714.086926128861
9,52.6207859411968,384.502480622276,856.960904090495,-747.459285482924,626.52262467862,-614.661259695253
9,1358.1168358525,523.035132217832,2381.64702806053,337.471045071366,2159.77716792013,536.98902106161
10,-155.144892213716,246.769806626567,270.436575065272,-625.729919400708,194.581463504524,-543.047910361379
10,497.484327639916,536.06956310403,1795.46051398169,-369.429481618742,1417.87113961858,-260.216886910611
10,607.917060117774,757.019573047774,2199.36597216497,-826.150686372617,1967.20295961022,-560.266423402589
10,710.958364639419,732.98616316231,2298.2743795367,-347.694556455622,2068.63461317332,-231.402604737423
10,1828.77068409711,520.545013527592,2841.04514414334,816.816931212668,2678.91172197528,960.956105828287
11,3.13433124170924,248.048024270148,554.502836684207,-447.495004932548,407.3704074003,-370.132803937904
11,88.7169593489914,342.482465230303,729.971890189798,-571.461352131978,662.881007985207,-452.842205930708
11,369.636992375574,541.950368638281,1414.27806944124,-703.472410616269,1258.17317992215,-495.721300275806
11,-16.0533438143351,334.884106210142,644.842565263013,-654.401077421427,483.895567855894,-539.220978824118
11,1061.44157846247,474.14769016771,2013.33590357384,162.731812402383,1876.74062339398,328.100292234913
12,-135.819385286459,366.057495320628,528.699801307725,-876.826628452197,404.557826180527,-758.738491597
12,218.167262105119,455.709950048496,1178.37652888688,-660.325401839104,982.497763440717,-496.63107919734
12,426.535567120029,755.502852651512,2001.55689808545,-1021.91216507901,1719.41483776861,-672.789324586106
12,970.017127455799,1095.62795315957,3943.07986786304,-647.016191539155,2922.98044062401,-441.53055854789
