"sim","mean","se","upper95","lower95","upper90","lower90"
1,-3.29558533231109,202.093710878922,452.725451025683,-344.251666105252,362.136141842701,-287.275510043007
1,409.397325231236,492.91325241911,1282.88855829743,-313.706090790649,1013.21100946286,-177.650688427384
1,-454.481994961974,1853.77018405559,2677.75337397966,-4319.90505343456,2168.1885339523,-3745.33386569169
1,187.183250767709,1495.62747363848,2966.28458057703,-3479.4850022527,2439.37301149716,-2369.6729585346
1,1924.70690566884,527.576200494227,2977.72369150468,810.795872564416,2799.05167452853,1093.9000979475
2,-27.0872917997754,231.37937597387,506.050122181524,-428.822694759035,411.204682299757,-355.569642853569
2,49.0903744241456,388.494552624925,723.846699590417,-562.660368159215,614.036671218601,-465.505938656273
2,257.476047412097,1055.51407125098,2209.21691568801,-2017.53066690293,1976.33616852799,-1178.57397598224
2,-248.547089844465,1473.16909856455,2862.00681862599,-3313.54636064104,2187.43182707301,-2601.6872119763
2,1336.70958336346,572.028072220203,2446.71315717084,226.860219064628,2280.02112920109,426.198071752235
3,-86.6780183190684,213.538331795127,339.952861767139,-500.897245150655,256.173682246891,-418.90577909809
3,238.978696642581,365.498025770735,1088.9727021905,-366.01005034623,829.657873202451,-295.738935854265
3,256.092304394409,947.839883755166,2308.98747115295,-1424.47570145838,1813.57677410818,-1178.06982357718
3,667.57740246465,711.959729882951,2459.3726653912,-483.333773890625,2010.53332218261,-252.610605662798
3,1596.55689266009,515.040201222689,2601.33873982447,620.931119879663,2457.36943081003,776.317707328116
4,-94.9027779023985,317.022519778263,573.340491943381,-669.208485162517,462.917901199268,-600.179731407223
4,-88.0787581486883,670.61099885163,1190.5648064849,-795.473257981692,556.973101375454,-693.59386851317
4,3921.97335640537,2969.0957759113,10691.6963855212,-44.2052709493565,9414.30617347805,237.425542240502
4,3488.74714106641,3128.8157343771,10187.6158522876,-396.969481757615,9363.25965351174,-188.955143272812
4,701.818294559502,1030.20159414148,3883.38438597806,-322.486082720312,2311.80603541801,-161.97538510119
5,-99.0220747031888,177.183307673149,243.060654951154,-457.874087213017,191.123408429994,-380.976195570862
5,167.603517773626,299.362984132018,782.711782877367,-379.827392640854,674.943514811099,-295.549352808882
5,671.557097123784,562.137816764897,1971.49129014942,-250.41214115131,1606.07433578317,-81.6661646930185
5,794.310010884243,667.791471278173,2273.78223581611,-159.666964001761,2063.61195191269,-93.7558576737759
5,1261.41391182852,441.232358941822,2143.79376292052,445.763987141474,2017.6799254768,584.808678325055
6,38.9443726851648,145.554986751459,350.632267525222,-212.853531539487,299.325380207947,-187.512330020648
6,99.9737206224665,289.799426872041,697.968323304256,-339.480538539008,569.816863042241,-296.021267172777
6,546.393320927051,871.733923736015,2360.59218974632,-1009.0401682808,1938.3128643437,-725.485758038389
6,665.666784565463,810.349356084662,2581.80437263931,-507.669060794145,2108.80430610733,-386.154361151977
6,1306.11187855708,410.958487062505,2068.60732691791,434.791789569889,1931.1994451294,569.799040775897
7,-62.9122094030803,375.684974067215,935.766197000506,-581.067972282716,626.530878681902,-539.951753463729
7,-201.76858925875,371.500466770321,445.35744159807,-766.660744282112,347.682642569513,-704.040870068232
7,2006.78882214573,2424.3741528735,8142.01406444357,-766.114871627801,6247.7679116087,-473.312300201513
7,4018.59454344771,2330.45419676226,10047.3621050291,540.218500922022,8527.74956705109,891.40175616496
7,1125.03018834077,418.416254323085,1964.90504799822,330.569316975712,1813.1175044496,477.847968857633
8,-93.5590809523325,318.038797933005,691.759313573439,-580.106828880178,456.648326505673,-519.866204166331
8,335.4515267826,588.746899844415,1740.81263197764,-544.610732398654,1441.67460428307,-475.016212450026
8,1945.45437732108,1252.14650519026,4917.50385568091,28.0133749769814,4268.98262588145,169.946278149235
8,1012.13144318965,1121.14035491262,3629.60183529811,-391.930416761784,3277.69255020868,-236.490600178741
8,1929.25648634349,685.975680824466,2979.82500011167,347.946649183172,2861.02475887169,519.227333176747
9,-136.886497111825,197.591994113271,285.19297577383,-531.762947437476,168.189132770539,-454.844864631975
9,121.96871833159,304.494988827962,680.793315135234,-448.20131384652,599.871604421635,-374.896485504038
9,318.703862012429,591.210161127083,1621.32709752426,-680.105794442073,1390.32337594616,-550.209613608969
9,124.191323835297,287.625642714591,709.71820968001,-315.783937199333,611.834432233728,-250.734389977205
9,1349.65304708605,462.124498442156,2398.01766289072,504.843891834996,2147.98938089632,640.576555995526
10,-110.256279117738,282.659893896882,608.182585260388,-573.481947776541,440.828018148894,-463.861042995515
10,245.830535112142,513.991629085118,1483.62846101608,-490.251366715496,1134.62232192607,-419.154826013951
10,809.385412581464,753.987407417347,2514.40362120239,-445.334008737863,2035.13451055702,-192.792426216994
10,870.568610497407,682.30126372505,2256.23374906915,-161.034961834942,2038.91630045615,-39.2056947589226
10,1994.61261588458,557.076424956652,3064.35826666796,880.942910098764,2963.43036169167,1032.0189567115
11,-2.21526332685917,189.271537917533,415.460736135157,-362.777707021169,335.304007244476,-289.883791879031
11,66.5406771052049,249.472587166249,598.828363010725,-381.41593292456,494.508606536617,-332.96578585075
11,532.196448722272,551.120081483317,1701.51516476617,-455.80792419305,1512.22055978678,-322.545182563798
11,61.0871608471383,280.862942972156,712.209089325429,-426.476602742783,578.817186285569,-369.437617820648
11,1055.19577728712,409.001938575134,1962.88975202837,356.506054424711,1781.8534377292,438.905183015203
12,3.97238817234677,317.2637906518,670.629354391991,-536.531592231045,539.357353190402,-456.543532654443
12,18.2656132869637,454.406378425965,1102.59398287234,-704.558048421693,825.439917234342,-632.661892913619
12,694.442060181968,1007.31221667267,3437.85906670394,-723.033479928358,2614.74999221062,-548.308784109911
12,1020.1604285379,963.596135883664,3248.3477480187,-444.112572632864,2831.75570383358,-221.902031241602
12,1542.96804859399,464.795819641709,2373.66759537168,565.609996942604,2239.46017299015,671.242786463198
13,-91.1057145101531,210.52476886694,278.494397187427,-500.045889259672,243.183363773294,-444.654229222889
13,313.308773782961,473.167028553763,1274.13383537718,-405.274824941856,1092.66619953708,-334.656820358526
13,2206.66968671637,1334.6508374765,5423.73465885728,37.4739726139405,4541.10687284638,288.173251259389
13,1654.36289661365,1429.42025789584,5252.18675590286,157.889841398712,4511.94592596207,246.277917114018
13,1286.74575628469,592.496723920681,2347.12127031162,177.023440161179,2230.1977247257,312.84668746014
14,112.194123038442,244.843143523749,703.204799164575,-275.836744361999,567.297782660304,-223.673269874754
14,34.5547218077826,276.300180258968,648.665475986595,-400.137491243761,507.223881526679,-347.468876862274
14,2267.83484127478,1838.40202069781,6465.43329692267,-170.756591695908,5533.17088744811,63.6554194612725
14,1622.93652660158,1690.38449064033,6100.39052570399,80.9372211405002,5129.51397012534,187.952651655716
14,1437.53709318054,503.582313234432,2357.11765839583,519.984763825998,2232.58772817319,621.838946584262
15,30.5310730969487,300.569419362198,727.693066947983,-485.879703382975,567.715323872936,-385.383508950277
15,250.931273661137,472.914161060164,1298.67593335805,-501.91121651802,1081.7054644281,-424.340421672536
15,1112.61942994261,523.924134717158,2188.529659592,127.050034484955,2046.86946498939,291.978423547179
15,668.409560228904,577.900737952618,1970.67058979467,-245.081493142084,1768.89691124368,-115.261111933066
15,1411.10126273617,527.684736878846,2245.78776734443,379.826969359035,2164.64786748757,496.143226091751
16,-79.5939375323074,346.060866439801,692.090464811178,-696.141988418012,520.095471975135,-560.902963345093
16,108.830096733025,529.556938868178,1236.30380795222,-775.692870994273,1034.73779791703,-642.897710995797
16,112.205725000149,991.846919061336,2000.93883203973,-1625.70586037424,1510.14729469774,-1272.19169750667
16,-1067.33228106577,1823.65169099115,2256.84505075055,-4770.2084515743,1875.57928211186,-4105.03948424747
16,1326.84332024141,593.452274486596,2371.95035917363,214.691002365168,2138.06745888054,374.999833021389
17,-109.478694659394,367.337930123025,893.145891800415,-615.833988940616,590.445216984072,-548.502494215295
17,515.736391613211,938.934739255303,2030.86929854662,-564.139442685101,1925.54731908061,-401.151461121396
17,963.998192967828,2859.56070425451,6653.46534684388,-4500.83862783856,5775.4666227825,-3660.16925103961
17,-216.301673215226,2398.08331321861,4841.13401765644,-4841.08796506643,3752.93192407625,-3929.30042134248
17,1756.34418940644,1088.75904990723,3251.93142132111,-279.87267861679,3129.12993517391,26.4482939305988
18,-43.1601746825112,239.198171593417,509.519278561535,-462.564552758289,412.07202853059,-386.900038890828
18,283.075797355039,519.633137847717,1421.84083690425,-535.148461439748,1210.0087068787,-407.840181208157
18,1004.31368135983,1414.24400191088,3767.9558239802,-1742.8642013268,3232.8491532089,-1214.76433287139
18,589.888209139385,780.033658672267,2287.43545286138,-409.540786030727,1456.72838395807,-153.167801551972
18,1639.44051354166,528.896650336911,2619.48889674284,547.74561760223,2422.97395191831,747.574237846138
19,29.0072356494977,433.981388083046,1162.69544240443,-553.821126334981,849.067316243675,-475.680444705017
19,133.938541195167,523.110699872121,1411.05573499182,-674.118673431502,1148.24702034371,-519.371093236894
19,1829.21408134418,2443.07333981922,7835.58904015331,-1532.00989273668,6483.35515705215,-1018.09929712965
19,1764.19596882682,1584.23421611575,5417.28285055174,-451.220931204222,4513.53607579295,-170.783757034093
19,1333.79868421967,499.871854277127,2184.62867556303,174.95377893175,2065.43039525955,528.788633247048
20,-105.120320846578,187.395643063765,309.922563949365,-389.57676521649,251.334923943091,-345.041774663454
