"method","sim","SBS6","SBS18","SBS13","SBS2","SBS3","g","total_muts","total_abs","prop_abs"
"all_data","1","-214.330740381624","-42.6105710677695","40.9355405639874","-81.3111526948138","297.324668078121","50.5","5919.51","799.921394743545","0.0859598378520184"
"all_data","10","-104.101110342462","-160.795947211239","59.4988761368865","-120.731641574332","326.140611954867","50.5","5308.23","846.924828444658","0.0696897363324928"
"all_data","100","-126.32757439054","-48.2292719782707","166.299732967029","-206.579182183141","214.846409064667","50.5","5281.34","833.452286876459","0.0661880559591324"
"all_data","11","-66.6123183336487","15.2061115143111","-54.0499130352961","-61.2739470036981","166.737989052732","50.5","4444.03","434.156453181351","0.0482307704909561"
"all_data","12","-69.7952269554345","-141.125587325175","145.263875045366","-195.615415268088","261.287310781018","50.5","5332.32","888.180584074285","0.0643543469287532"
"all_data","13","-162.355562423735","-89.2462428664413","-39.4010035470275","-2.72172753825626","293.734645878026","50.5","5869.85","742.154329120444","0.0855152325567381"
"all_data","14","-129.383764014825","-23.0378230137128","145.567569403669","-164.704196889355","171.570788554345","50.5","6002.12","688.257362337209","0.0618163653572561"
"all_data","15","-47.3691603220514","-44.9466680810148","63.8185031786425","-132.585912673611","161.094083243194","50.5","4422.41","582.849956677716","0.0555650220012038"
"all_data","16","-153.497021096533","-147.330788271042","145.418779929745","-203.557840823023","358.978479700245","50.5","7182.3","1081.30515863914","0.0723758434856426"
"all_data","17","-85.774860930209","-57.9114065001246","-21.0341920596946","-21.4555935160641","186.183584756518","50.5","6395.54","544.487711796158","0.0556629845132625"
"all_data","18","-177.137270809125","-160.842771466828","160.583433856983","-202.773978727045","380.182522236311","50.5","5966.32","1159.56852485433","0.100392957793792"
"all_data","19","-94.8122139137159","-79.0630967046139","40.559579970714","-65.10423939775","198.42926281947","50.5","6938.11","547.650596564594","0.0525370247143144"
"all_data","2","-162.540415214596","-14.9920797794209","8.37274791068442","-58.6927852640455","227.862109282679","50.5","6041.34","609.272108668341","0.0610771002864894"
"all_data","20","-96.3195837599493","-134.516394570845","114.406845244514","-179.663583709918","296.100650388777","50.5","5716.33","859.285531546015","0.0711644078382953"
"all_data","21","-117.248857074752","-109.071849158181","138.488633292453","-173.40020550272","261.244158883077","50.5","7453.24","878.346772011461","0.0605723470888136"
