"method","sim","SBS6","SBS18","SBS13","SBS2","SBS3","g","total_muts","total_abs","prop_abs"
"impute","1","-182.960112024546","-221.742993917594","-37.1469653794252","-19.2046951279392","461.063884455498","50.5","7920.61","985.281706166189","0.0689670109141024"
"impute","10","-81.3784572063718","-318.8099272846","-43.2257413479736","-48.967251032222","492.390012819062","50.5","7279.51","1004.95759340598","0.0691942170238929"
"impute","100","-98.8064815979533","-153.667576389835","84.8714542721572","-154.896214002176","322.506553970915","50.5","7288.27","887.764949854951","0.0534391218012618"
"impute","11","-110.099268876123","8.86776665791987","-68.1134087492574","-82.1769874920308","251.527648428679","50.5","6451.68","581.137798062152","0.0421321194852291"
"impute","12","2.23406094457962","-402.972047347355","22.9735693219281","-101.820634026756","479.591949441979","50.5","7307.42","1115.10013018778","0.0773685780144463"
"impute","13","-187.199631909654","-183.095595742354","-162.940742978444","103.488687052048","429.757922881911","50.5","7880.38","1133.65431344539","0.0709064103469568"
"impute","14","-143.243865286945","-89.5323588521444","61.9687954693094","-110.449195848238","281.262166259807","50.5","7995.83","714.822493771107","0.0490792284230138"
"impute","15","-69.2125555210692","-205.329595560963","24.1077515854195","-123.012305710535","373.448819090322","50.5","6400.22","860.285945533871","0.061496411125246"
"impute","16","-269.384207886994","-51.3149582136987","75.5088302699527","-169.266676201726","414.464841957232","50.5","9182.32","1073.44043956922","0.0598575070680312"
"impute","17","-82.9745471686686","-88.8042277520487","166.203307793521","-232.12020637148","237.704191007039","50.5","8393.86","867.835825363131","0.0416109720788532"
"impute","18","-270.940314372928","-229.95721173944","27.9283588417526","-92.595377901304","565.573469620468","50.5","7962.14","1236.9461721342","0.0875555507759847"
"impute","19","-109.141086253311","-182.118433323725","37.1856438133974","-94.3668082557157","348.445617995555","50.5","8946.67","855.942630625869","0.0527013928549164"
"impute","2","-201.328897570704","-15.1309460172959","-63.4802646212523","5.09570025984661","274.84927663254","50.5","8023.5","736.644381183323","0.0485770713083491"
"impute","20","-123.454912735233","-271.625625820014","65.3464862204909","-151.162478664552","480.910662155902","50.5","7709.36","1134.22420430659","0.072466186958205"
"impute","21","-123.58380181735","-249.027036039849","133.055751336848","-189.960391067668","429.518115170501","50.5","9468.64","1157.5015748952","0.0616268588192085"
"impute","22","-155.321213730482","-52.308277817002","136.668354211182","-185.268160772589","256.234487229595","50.5","7461.63","864.474922302472","0.0479439298661572"
"impute","23","-138.380472971844","-114.762598677036","-42.4940199194209","-63.1034618491673","358.756549834448","50.5","6962.41","732.262766159032","0.0539101710124697"
"impute","24","-86.0176679487894","-213.864609021688","99.4330204188952","-154.100935248189","354.551351358516","50.5","7908.73","940.908215442963","0.0579757230109535"
"impute","25","-99.5487480514743","-291.296344250288","153.94095604143","-218.182657207333","455.096950099583","50.5","7397.04","1283.9668287847","0.0740017190814715"
