"method","sim","SBS6","SBS18","SBS13","SBS2","SBS3","g","total_muts","total_abs","prop_abs"
"impute","1","-205.842464474402","-118.734813537005","242.951101209245","99.8260619411551","407.339169818698","50.5","7920.61","1125.60063622004","0.0743268537629391"
"impute","10","-119.334373648042","-360.188105685384","155.203079643249","-64.7204982326491","520.783214676011","50.5","7279.51","1226.78145726135","0.0766644563286511"
"impute","100","-142.280696689449","-117.413323324382","313.78486349743","-68.1239624458449","442.977004667682","50.5","7288.27","1183.49551508045","0.0719391984371113"
"impute","11","-72.9960203902311","-77.6555675155992","-83.4227078945269","-59.0034256306197","133.199672626359","50.5","6451.68","500.281325397258","0.0366248312039265"
"impute","12","-62.2222185224507","-290.387735269996","179.493726484362","-145.587636605271","417.76915961672","50.5","7307.42","1144.62298111517","0.0648807037167314"
"impute","13","-180.245239377191","-229.984063084808","-65.1873885313965","10.3292086062834","439.270880407055","50.5","7880.38","1128.60470750178","0.0815501077335039"
"impute","14","-130.522782018277","-77.9061677196695","321.543145617297","-6.19416460511254","-1.14668690420488","50.5","7995.83","764.173270622909","0.0455699723108255"
"impute","15","-30.8854284836182","-271.765285971837","25.8016649077031","-143.45044524081","303.98415176726","50.5","6400.22","920.855497419604","0.0640381606511999"
"impute","16","-202.478276880777","-280.976362906508","-19.3534010861476","-334.345496587547","717.911423050442","50.5","9182.32","1857.22761475108","0.10655250090816"
"impute","17","-81.0358731223183","-194.8975389017","185.551390394084","180.893325502539","416.658406666885","50.5","8393.86","1071.80644344564","0.0678949900262178"
"impute","18","-175.201439090514","-284.420512553682","360.509134861377","-62.2249243539361","671.192339171295","50.5","7962.14","1637.23560157639","0.100551598635059"
"impute","19","-137.567269013511","-228.949080840562","-82.3293566882476","-161.779861306991","253.923800811219","50.5","8946.67","1053.76197296458","0.0743660477360871"
"impute","2","-146.538963232227","-42.8153078046193","10.4515779773064","-91.2032339640516","446.541303610126","50.5","8023.5","921.335236581127","0.0610755712179224"
"impute","20","-65.7057353108231","-286.388223143779","297.188614676336","22.8116532938106","255.28088177053","50.5","7709.36","1036.87185334318","0.0632795584950351"
