"method","sim","SBS6","SBS18","SBS13","SBS2","SBS3","g","total_muts","total_abs","prop_abs"
"stabilize","1","80.8266331832743","-22.2801206389031","-276.968307031081","-65.4987914879207","283.92058597463","50.5","7920.61","945.658029074033","0.0614066859707862"
"stabilize","10","65.1135594224209","-88.0061837926928","-311.086813573319","58.542823466344","275.436614477247","50.5","7279.51","1080.73789828857","0.0584630855127786"
"stabilize","100","105.815127391382","21.8271830510706","-131.050935105542","-374.805008220474","378.213632883564","50.5","7288.27","1316.52446707746","0.0825985376287681"
"stabilize","11","50.0961257055347","93.7445339618954","-175.917645855095","-121.738455979204","153.815442166868","50.5","6451.68","731.743583079782","0.0500494993506595"
"stabilize","12","116.130941566051","0.986723707134402","-387.723116208694","-38.9450134023903","309.5504643379","50.5","7307.42","1380.49331632299","0.0710847190630072"
"stabilize","13","37.9177210070386","11.0175012025242","-201.02960206794","-184.139916733091","336.234296591467","50.5","7880.38","1053.76325033864","0.0671276909666949"
"stabilize","14","23.9758021038465","137.136840181498","-61.0365264945483","-408.698951963335","308.622836172539","50.5","7995.83","1493.54473630316","0.0804653604127166"
"stabilize","15","70.3837817836029","10.0044137152758","-190.434128044333","-178.257434228388","288.303366773842","50.5","6400.22","858.681780253308","0.0629291633775371"
"stabilize","16","105.675999101852","-148.416334600342","91.2766220341009","-607.056056271818","558.519769736209","50.5","9182.32","2022.18277537881","0.0924653533844585"
"stabilize","17","-44.3696577522263","-33.9448521832599","181.517439703777","-399.952484743788","296.749554975497","50.5","8393.86","1471.61609758615","0.0622345665942087"
"stabilize","18","24.3761461159083","-144.459045651154","-49.9711586178157","-217.787033370414","387.841091523477","50.5","7962.14","944.28999981658","0.0681567686227165"
"stabilize","19","74.1925264292978","-140.756705685546","-62.4693319555663","-228.543496786022","357.577007997838","50.5","8946.67","1196.92854193711","0.0694640618508172"
"stabilize","2","163.031897635753","19.4631480318222","-400.946520325194","-136.000868688781","354.4523433464","50.5","8023.5","1321.07025992458","0.0773084150778971"
"stabilize","20","36.9996140233239","-213.923545847094","-205.16178554476","86.5412103244447","295.544507044086","50.5","7709.36","1121.89793549413","0.0614428759077686"
